Feature,Coefficient
odometer,-4674.943322912029
car_age,-5217.175814069791
model_encoded,607.3170261640789
model_Target_encoded,8662.676757617386
odometer^2,212.73643055793983
odometer car_age,7.039533746408692
odometer model_encoded,-140.96689617111824
odometer model_Target_encoded,-1752.369717140568
car_age^2,979.7666843110165
car_age model_encoded,-2505.541880626666
car_age model_Target_encoded,-1765.1647313515375
model_encoded^2,-557.8592061254095
model_encoded model_Target_encoded,1283.8758216457236
model_Target_encoded^2,-608.0003902473406
odometer^3,-2.381002303494215
odometer^2 car_age,-3.3929141084917633
odometer^2 model_encoded,1.219857729762599
odometer^2 model_Target_encoded,34.08645049520125
odometer car_age^2,38.907288444620335
odometer car_age model_encoded,-0.5596252829970819
odometer car_age model_Target_encoded,-43.75820229792114
odometer model_encoded^2,47.58676842032513
odometer model_encoded model_Target_encoded,-287.0728444993469
odometer model_Target_encoded^2,308.79214490114975
car_age^3,-28.495476853266016
car_age^2 model_encoded,369.36319737450583
car_age^2 model_Target_encoded,139.41128203754127
car_age model_encoded^2,349.8881191890069
car_age model_encoded model_Target_encoded,-1066.1786180839924
car_age model_Target_encoded^2,305.01320750409525
model_encoded^3,107.41584066550232
model_encoded^2 model_Target_encoded,-713.4359336686363
model_encoded model_Target_encoded^2,-488.4218128406274
model_Target_encoded^3,146.46203836636434
region_SF bay area,-70.17109093924181
region_abilene,1883.9750036437947
region_akron / canton,696.6324938040938
region_albany,587.8038625645028
region_albuquerque,-940.6688827778142
region_altoona-johnstown,1683.9288526584378
region_amarillo,-24.873821806223393
region_ames,2916.119412817462
region_anchorage / mat-su,110.05346843033296
region_ann arbor,57.78632690924349
region_annapolis,-1686.9446878542187
region_appleton-oshkosh-FDL,1042.5401200916392
region_asheville,1452.708295015448
region_ashtabula,0.0
region_athens,551.3096180649617
region_atlanta,0.0
region_auburn,-1281.5932553418215
region_augusta,-1148.1799598697373
region_austin,-1185.7940958224099
region_bakersfield,-1535.9407019143482
region_baltimore,667.0819430844873
region_baton rouge,490.19590333897304
region_battle creek,-149.96060090143138
region_beaumont / port arthur,-1901.6332437559722
region_bellingham,3205.5902658196565
region_bemidji,1275.688723441698
region_bend,-0.0
region_billings,526.5692452080974
region_binghamton,0.0
region_birmingham,303.38170274630636
region_bismarck,1169.971393319849
region_bloomington,-580.6224477729854
region_bloomington-normal,-0.0
region_boise,181.05473593157072
region_boone,3779.9132482583145
region_boston,0.0
